auto_id,image_id,session_id,filepath,i_date,i_gpsIndicator,i_latitude,i_longitude,temperature,colour,accel_x,accel_y,accel_z,magnet_x,magnet_y,magnet_z,pir,eImgsizes,eImgTypes,eAlt,eSpeed,eHorzErr,eVertErr,eExposure,eGain,eRBal,eGBal,eBBal,eXOr,eYOr,eZOr,eLinkID,eRed,eGreen,eBlue,eLum,eCamID,eExifOr,eBlur,eBlur2,eAvgLuminance
4347,b00000025_21i4tk_20150325_140837,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000025_21i4tk_20150325_140837e.jpg,2015-03-25T14:08:38,2,37.50712,-121.90099,21.4,0,0.203,-1.049,-0.596,-0.036,0.63,-0.218,1,4014,2,174.4,1.1,63.79,81.18,1,1.25,1.469,1,1.406,103.07,-88.06,326.66,FB6FC1BA-AA44-476C-AF2B-F37511FB36DB,65535,65535,42907,65535,123458024,<null>,0,0,0
4345,b00000026_21i4tk_20150325_140900,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000026_21i4tk_20150325_140900e.jpg,2015-03-25T14:09:01,2,37.50724,-121.90084,21.4,0,-0.085,-1.201,-0.454,-0.281,0.63,-0.247,1,4014,2,169.7,0.8,38.22,3.64,1,1.25,1.469,1,1.406,100.57,-91.58,321.42,CC68F187-6A78-4CDE-95AA-4920433C973B,64756,61365,40502,65535,123458024,<null>,0,0,0
4344,b00000027_21i4tk_20150325_140924,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000027_21i4tk_20150325_140924e.jpg,2015-03-25T14:09:25,2,37.50735,-121.90056,21.4,0,-0.073,-0.616,-0.045,-0.276,0.628,-0.243,1,4014,2,173.5,0.9,37.06,2.6,1,1.25,1.469,1,1.406,99.057,-91.33,316.97,AE414A65-3FE2-491D-950F-E491769884E6,65535,65535,44040,65535,123458024,<null>,0,0,0
4350,b00000028_21i4tk_20150325_140947,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000028_21i4tk_20150325_140947e.jpg,2015-03-25T14:09:48,2,37.5075,-121.90033,21.4,0,-0.004,-1.057,-0.461,-0.227,0.622,-0.195,1,4014,2,174.1,1.4,25.43,2.27,1,1.25,1.469,1,1.438,99.851,-90.62,317.93,EFAB9B24-DA33-470F-BEFD-EBD39BD3358A,65535,65535,43719,65535,123458024,<null>,0,0,0
4351,b00000029_21i4tk_20150325_141010,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000029_21i4tk_20150325_141010e.jpg,2015-03-25T14:10:11,2,37.50769,-121.90013,21.4,0,-0.172,-1.235,-0.449,-0.176,0.624,-0.183,1,4014,2,176.4,1.2,25.14,2.14,1,1.25,1.469,1,1.438,99.596,-91.56,332.69,DE97B942-1091-4BC5-991D-26A877E9B3F0,65535,65535,47004,65535,123458024,<null>,0,0,0
4349,b00000030_21i4tk_20150325_141033,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000030_21i4tk_20150325_141033e.jpg,2015-03-25T14:10:34,2,37.50797,-121.89999,21.4,0,-0.076,-1.028,-0.015,-0.115,0.639,-0.2,1,4014,2,179.4,1.5,30.03,2.12,1,1.25,1.469,1,1.375,98.309,-90.63,321.35,B5EA845B-F7DF-4F37-956B-2DA709A13BE0,65535,65535,49212,65535,123458024,<null>,0,0,0
4348,b00000031_21i4tk_20150325_141056,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000031_21i4tk_20150325_141056e.jpg,2015-03-25T14:10:57,2,37.50811,-121.89984,21.4,0,-0.107,-1.36,-0.241,-0.172,0.628,-0.195,1,4014,2,180.8,0.8,33.82,2.07,1,1.25,1.469,1,1.375,98.654,-91.69,321.26,952E83E4-33AE-4AEE-B821-E08CF8E2F114,65535,65535,48632,65535,123458024,<null>,0,0,0
4354,b00000032_21i4tk_20150325_141121,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000032_21i4tk_20150325_141121e.jpg,2015-03-25T14:11:22,2,37.50843,-121.89973,21.4,0,0.096,-0.9,-0.165,-0.175,0.618,-0.175,1,4014,2,183.7,1.2,20.77,1.98,1,1.25,1.469,1,1.375,100.74,-92.46,337.2,FFCAD826-63B3-40E4-AA06-2B4B0CF346D6,65535,65535,47784,65535,123458024,<null>,0,0,0
4355,b00000033_21i4tk_20150325_141145,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000033_21i4tk_20150325_141145e.jpg,2015-03-25T14:11:46,2,37.50865,-121.89965,21.4,0,-0.224,-1.002,-0.254,-0.087,0.622,-0.173,1,4014,2,188.1,1.4,23.81,1.94,1,1.25,1.469,1,1.406,102.46,-92.03,341.05,FF14402B-9A0C-40BD-B12C-79179DE6AF1B,65535,65535,50126,65535,123458024,<null>,0,0,0
4353,b00000034_21i4tk_20150325_141209,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000034_21i4tk_20150325_141209e.jpg,2015-03-25T14:12:10,2,37.50892,-121.89965,21.9,0,-0.011,-0.85,-0.226,-0.054,0.618,-0.157,1,4014,2,191.9,1.3,23.44,1.99,1,1.25,1.469,1,1.438,104.4,-90.78,353.17,9CB358B9-AC16-479A-90AF-3D84E015A5C8,65535,65535,51224,65535,123458024,<null>,0,0,0
4352,b00000035_21i4tk_20150325_141233,26031136-5623-4593-8339-44667EF0DBAA,/images/2015-03-25/b00000035_21i4tk_20150325_141233e.jpg,2015-03-25T14:12:34,2,37.5091,-121.89964,21.9,0,-0.129,-0.873,-0.297,-0.049,0.604,-0.145,1,4014,2,196,0.8,22.56,1.97,1,1.25,1.469,1,1.438,104.49,-92.14,342.04,247EDFBE-50C4-4F37-93EF-04DC4194B0B5,65535,65535,52595,65535,123458024,<null>,0,0,0
